75;170;ForteBank KZT;KZT ForteBank;398;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110011111011111001011101000000011010000000000000101000100111110111111110111111111101111111111111111111111111011110010000000000000000000000001111111100000000000011100001000000000000000
76;72;NEAR Protocol (NEAR);NEAR;1023;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110011111111111111101101000000011010110000011000101010111111111111111111111111111111111111111111111111111111011110111101111111101111011000001111111100001100000011110011000000000000000
77;239;MoneyGram EUR;EUR MG;978;4;100000010000000000001000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;238;MoneyGram USD;USD MG;840;4;100000010000000000001000000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;147;Авангард RUB;RUB Авангард;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110001001001111010000000011000000000000000000000000000111111111111110111111111111111111111001110000000000000000000000000001100111100000000000000000000000000000000000
80;88;PayPal EUR;EUR PayPal;978;1;100010010011111111111100001000010111000011110011010010111111111101111101001110110011000000011100000011000000000000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
81;209;Банковский счет GBP;GBP Банк;826;3;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;62;Solana (SOL);SOL;1012;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111111111111000001111110110000011000101110111111111111111111111111111111111111111111111111111111011110111111111111101111111000001111111100001100000011110011100010101101100
83;185;Visa/MasterCard TRY;TRY Карта;949;3;101110111111111111111111001100010111111111110011100110111111111111111111111000111011110110011100011111000000001000000011010000000000000101000100111110111111100111111111111111111111111101111111111011110000000000000000000000000001110111100000000000000000000000000000000000
84;165;Монобанк UAH;UAH Монобанк;980;3;101010011011111111111110000000010101111111110011100000111111011111111111110000110011110100011100010111000000001000000011010000000000000101000100111111111111110000000011111111101111111111111111111011110000000000000000000000000001110111100000000000011100001000000000000000
85;107;Capitalist RUB;RUB Capitalist;643;1;101111011011111111011111011110111111011011111011110111111111111111111100111000111111010110111101111100001110000001001110010000000101000101000100111111111111111000000011111111101111111111011111111011111010001000000000000000000001011111100001000000011100000000000000000000
86;244;UNI USD;USD UNI;840;4;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
87;78;Paymer USD;USD Paymer;840;1;000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000011000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
88;92;Advanced Cash USD;USD AdvCash;840;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111111111101001011111110000000111000101010111111111111111111111111111111111111111111111111111111011111111101111111101111111000001111111111111011111111110101100000101000000
89;248;Наличные USD;USD Наличными;840;5;101110011011111111111110001100011111111111111111111011111111111111111111111000110101000000011100011111001000000000001000000000000000000100000100000000000000000111111101111101010100000000000000000000000100000000000000000000000001000000000000000000010000001000000000000000
90;168;HalykBank KZT;KZT HalykBank;398;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110011111011111001011101000000011010000000000000101000100111110111111110111111110111111111111111111111111111011110010000000000000000000000001111111100000000000011100001000000000000000
91;249;Наличные RUB;RUB Наличными;643;5;101110011111111111111110001100010111111111111111111011111111111111111111110000110011000000010100000101000000000000000010000000000000000100000111000000000000000000000001111111000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000
92;251;Наличные UAH;UAH Наличными;980;5;100000010001000011111100001000010000000000100000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
93;1;Bitcoin (BTC);BTC;1050;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111111111111111111111111111111001011111110110000111000111110111111111111111111111111111111111111111111111111111111011111111111111111101111111111111111111111111100001111110111101111111101111
94;253;Наличные KZT;KZT Наличными;398;5;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
95;149;Газпромбанк RUB;RUB ГПБ;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110001001001111010000000011000101000100100110111000000111111111111111111111111111111111111001110001010111111001000011000001100111100000000000010100001000000000000000
96;77;WebMoney WMX;WMX;1049;1;000000000000000000000000000000000000000000000000000000000000000000000000001000000000010100000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
97;118;Epay EUR;EUR Epay;978;1;100000000000000000011000001100000000000000000000000000000000000000000000001000110001010100010100010100000000000000001010000000000000000000000000000000000000000000000000000001000100010000000000000000000000000000000000000000000000000000000000000000010000000000000100000000
98;87;PayPal RUB;RUB PayPal;643;1;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99;12;Litecoin (LTC);LTC;1048;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111111111111001001111110110000011000101110111111111111111111111111111111111111111111111111111111011111111111111111101111111000001111111100001100000011110111101011111101101
100;198;Карта UnionPay CNY;CNY UnionPay;156;3;100110110011111111011111000000010011000011100001100110011111110101011101111000111010010110011100011100000000000000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
101;240;Contact USD;USD Contact;840;4;100000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
102;205;Банковский счет UAH;UAH Банк;980;3;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
103;121;Payoneer USD;USD Payoneer;840;1;100000000000000000011000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000
104;50;ICON (ICX);ICX;1033;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110001000001111110110000011000101010111111110111111111111111111111111111111111111011111111011110111010101111000010000000001111111100001100000011110001000000000000000
105;142;Тинькофф RUB;RUB Тинькофф;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001111111001111111110000000111001000000001000000000000000111111111111110111111111111111111111001110001010111111101010011110101100111111000000000010100001100000001000000
106;241;Contact RUB;RUB Contact;643;4;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
107;243;ЗК RUB;RUB ЗК;643;4;000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
108;98;Payeer USD;USD Payeer;840;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111111110111111111111111111101001011111110000000111001101010111111111111111111111111111111111111111111111111111111011110111111111111001111111000001111111111111010111111110001100000101000000
109;114;NixMoney USD;USD NixMoney;840;1;101010011011111111011100000000000000011011100001100100000000000000000000001000100011000000011001011000100000000000100000010000000100001101000100111111111111110100001001111101000100010000000000000010000000001000000000000000000000000000000000000000000000000000000000000000
110;28;USDCoin TRC20 (USDC);USDC TRC20;840;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111010110111111111100101110011000000111110000000111000101110111111110111111111111111111111111111111111111111111111011111111111111111101111111111111111111111110100001111110001001000000000000
111;178;Visa/MasterCard KZT;KZT Карта;398;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110011111011111001011111000000011010000000000000101000100111110111111110111111111111111111011111111111111111011110011010111111101000011110101111111100000000000011100001000000000000000
112;116;Global24 UAH;UAH Global24;980;1;100000010001010000011000001100000000000000100000000000000000000000000000000000100011000000011000011100000000000000000000000000000000000101000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
113;207;Банковский счет KZT;KZT Банк;398;3;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
114;169;Сбербанк KZT;KZT Сбербанк;398;3;101111111011111111111111011111111111111111111111111111111111111111111111111000111111110110011111011111000001101000000011010000000000000101000100111110111111110111111111011111111111111111111111111011110000000000000000000000000001110111100000000000011100001000000000000000
115;15;Dogecoin (DOGE);DOGE;1047;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111111110111111111111111111111001001111110110000011000101110111111111111111111111111111111111111111111111111111111011111111111111111101111111000001111111100001100000011110011100010101101100
116;242;ЗК USD;USD ЗК;840;4;000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
117;99;Payeer RUB;RUB Payeer;643;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111101110001001011111010000001111001101010111111111111111111111111111111111111111111111111111111011111010001000000000000000000001111111100001101010011100001100000100000000
118;164;ПУМБ UAH;UAH ПУМБ;980;3;101010011011111111111110000000010101111111110011100000111111011111111111110000110011110100011100010111000000001000000011010000000000000101000100111111111111110000000011111111101111111111111111111011110000000000000000000000000001110111100000000000011100001000000000000000
119;214;Банковский счет INR;INR Банк;356;3;100000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
120;94;Advanced Cash EUR;EUR AdvCash;978;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111101111101001001111110000000111000101000100111111111111111111111111111111111111111111111111111011111111101111111101111111000001111111101001011110011100001100000101000000
121;93;Advanced Cash RUB;RUB AdvCash;643;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111101110001001011111010000001111000101010111111111111111111111111111111111111111111111111111111011111010001000000000000000000001111111100001100000011100001100000100000000
122;100;Payeer EUR;EUR Payeer;978;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111101111101000011111010000000111000101000100111111111111110111111111111111111111111111111111111011110010101000001000000000000001111111100001010110011100001100000101000000
123;102;Skrill EUR;EUR Skrill;978;1;101010011011111111111110001000010111111111111011110010111111111111111111101110110011110100011100010110000001101000000011010000000000000101000100111111111111100111111111111111111111111111111111111011110000000000000000000000000001110111100000000000011100000000000000000000
124;46;Verge (XVG);XVG;1030;0;101111111111111111111111011111111011111111111111111111111111111111111111110000110011000000011101111100000000000000000000010100000011000101010111111110111111110000000001111101000100000010000000100010000000000100101000000000000000010000000000100000011100001000000000000000
125;115;NixMoney EUR;EUR NixMoney;978;1;100000000010000000001000000000000000000000000001000000000000000000000000000000010000000000011000011000100000000001000000000000000000001100000100000100000101000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
126;131;Binance RUB;RUB Binance;643;2;101111111111111111111111011111111011111011111111111111111111111111111111110000110011000000011101111100000000000000000000010000000001000101000101111110111111110000000000000001000000000000000000000010000000000000000000000000000000000000000000100000000000000000000000000000
127;85;QIWI KZT;KZT QIWI;398;1;000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000100000000000000000000000000000001011101000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
128;81;Perfect Money BTC;BTC PM;1050;1;101111111111111111011111011111111111011011111011110111111111111111111101111000111111110110111111011100001110000001001110010000000000000101000100111111111111110000000011111111101111111111011111111011110010001000000000000000000001001001100001000000011100000100000000000000
129;126;Exmo USD;USD Exmo;840;2;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
130;127;Exmo RUB;RUB Exmo;643;2;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
131;2;Bitcoin LN (BTC);BTC;1050;0;100010010001111111011010000001010100001010100001100010011110011100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
132;152;РНКБ RUB;RUB РНКБ;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110001001111111010000000011001100000100000000000000000111111111111111111111111111111111111001110000000000000000000000000001100111100000000000000000000000000000000000
133;44;Waves (WAVES);WAVES;1029;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111101111111101110001000001111110110000011000101010111111111111111111111111111111111111111111111111111111011110111111111111101111111000001111111100001100000011110001100000101101100
134;51;Komodo (KMD);KMD;1034;0;101111111111111111111111011111111011111111111111111111111111111111111111111000110011000000011100011100000000000000000000010100000010000101010111111110111111110000000001111101000100000010000000100010000000000100101000000000000000010000000000000000011100001000000000000000
135;54;Ontology (ONT);ONT;1003;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111101011100001010001000001111010110000010000101010111111111111111110000000011111111101111111111011111111011110111010101111000010000000001111111100001000000011100001100000000000000
136;109;Neteller EUR;EUR Neteller;978;1;100010010001100000011000001000000010000000101000000010010000000000000000000000110011000000010100010111000001000000000000000000000000000101000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
137;6;Bitcoin SV (BSV);BSV;1046;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111101111100001010000000001110010110000011000101000101111110111111110000000011111111101111111111011111111011110010000000000000000000000001001001100001100000001000000000000000000000
138;16;Polygon (MATIC);MATIC;1014;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111111110111111111111111111111001001111110110000011000101110111111111111111111111111111111111111111111111111111111011110111101111111101111111000001111111100001100000011110001100000101101100
139;8;Ethereum (ETH);ETH;1045;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111111110111111111111111111111001001111110110000011000101110111111111111111111111111111111111111111111111111111111011111111111111111101111111111111111111111111100001111110111101111111101111
140;17;Dash (DASH);DASH;1044;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111111110111111111111111111111001001111110110000011000101110111111111111111111111111111111111111111111111111111111011111111111111111101111111000001111111100001100000011110011101111111101101
141;250;Наличные EUR;EUR Наличными;978;5;101010011011111111111110001100011111111111111011110010111111111111111111110000110111100000011100011111001010001000000011000000000000000101000100110100001111010111111111111111111111111111111011111011110001000000000000000000000001100111100000000000010000001000000000000000
142;95;Advanced Cash UAH;UAH AdvCash;980;1;101110011111111111011111011111111111011011100001110100011111111111111101111000111111010100011101011100101100000001001100010000000100000101000100111111111111111000000001111111110101111111000001100010111010000000000000000000000000001111100000000000010000000000000100000000
143;139;Альфа cash-in USD;USD Альфа cash-in;840;3;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
144;73;Cronos (CRO);CRO;1000;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001010001000001111010110000011000101000101111110111111110111111111111111111111111111111111111011110010000000000000000000000001111111100001100000011100001000000000000000
145;105;Capitalist USD;USD Capitalist;840;1;101111011011111111011111011110111111011011111011110111111111111111111100111000111111110110111111111100111110001001001110110000000101000101000100111111111111111111111111111111111111111111111111111011111111101111111001111111000001011111100001000000011110100000000001000000
146;183;Visa/MasterCard GBP;GBP Карта;826;3;100110110011111111011111001100010011001011100001100110011111110101011101111000111000010110011100011100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
147;144;Тинькофф QR RUB;RUB ТКС QR;643;3;101010011011111111111110001100011110111111111111111011111111111101011000010000000000000000011100011100000000000000000000000000000000000000000000000000000000000000000000000010100000000000000000000010000010000000000000000000000000010000000000000000000000000000000000000000
148;124;Криптобиржи USD;USD Trade;840;1;100111110111111111100000101000010111111111111111011111111111111101111111110000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
